No,HOME_PORT,MONTH,YEAR,SST,FISHING_SCHEDULE,DATA_SOURCE,MACROZONE,ILAND,REGION,DISTANCE,LAT,LON,DIVERS,DIVING HOURS,CPUE
52,Baquerizo,Sep,2002,20.4,Night,Observer,Floreana,Floreana,Centre- South,65.2,-1.2364,-90.48071,1,5,1.994
53,Baquerizo,Sep,2002,20.4,Night,Observer,Floreana,Floreana,Centre- South,65.2,-1.23613,-90.47988,2,4,1.13375
54,Baquerizo,Sep,2002,20.4,Day,Observer,Floreana,Floreana,Centre- South,65.2,-1.23613,-90.47988,1,3,0.3
55,Baquerizo,Sep,2002,20.4,Night,Observer,Floreana,Floreana,Centre- South,63.7,-1.23131,-90.47753,2,4,1.36
56,Baquerizo,Sep,2002,20.4,Day,Observer,Floreana,Floreana,Centre- South,69.7,-1.30332,-90.38458,2,5,0.181
57,Baquerizo,Sep,2002,20.4,Night,Observer,Floreana,Floreana,Centre- South,69.7,-1.35567,-90.46295,1,4,1.1325
58,Baquerizo,Sep,2002,20.4,Day,Observer,Floreana,Floreana,Centre- South,69.7,-1.30332,-90.38458,1,5,2.176
59,Baquerizo,Sep,2002,20.4,Day,Observer,Floreana,Floreana,Centre- South,69.7,-1.36157,-90.45512,1,7,2.591428571
60,Baquerizo,Sep,2002,20.4,Day,Observer,Floreana,Floreana,Centre- South,69.7,-1.35376,-90.46747,1,6,1.661666667
61,Baquerizo,Sep,2002,20.4,Day,Observer,Floreana,Floreana,Centre- South,71.8,-1.319433,-90.50901,2,4,1.24625
62,Baquerizo,Sep,2002,20.4,Night,Observer,Floreana,Floreana,Centre- South,60.5,,,1,4,2.2675
63,Baquerizo,Sep,2002,20.4,Day,Observer,Floreana,Floreana,Centre- South,69.7,-1.35954,-90.44461,1,5,2.902
64,Baquerizo,Sep,2002,20.4,Day,Observer,Floreana,Floreana,Centre- South,69.7,-1.36213,-90.45431,1,5,2.902
65,Baquerizo,Sep,2002,20.4,Day,Observer,Floreana,Floreana,Centre- South,69.7,-1.359225,-90.44484,2,6,1.133333333
66,Baquerizo,Sep,2002,20.4,Day,Observer,Floreana,Floreana,Centre- South,57.7,-1.31778845,-90.3343269,1,6,0.755
67,Baquerizo,Sep,2002,20.4,Day,Observer,Floreana,Floreana,Centre- South,60.4,-1.3141,-90.3769,1,5,1.178
68,Baquerizo,Sep,2002,20.4,Day,Observer,Floreana,Floreana,Centre- South,60.4,-1.30802,-90.3733,1,4,4.42
69,Baquerizo,Sep,2002,20.4,Day,Observer,Floreana,Floreana,Centre- South,60.4,-1.308169,-90.373304,2,4,1.025
70,Baquerizo,Sep,2002,20.4,Day,Observer,Floreana,Floreana,Centre- South,60.4,-1.2919,-90.35846,1,5,1.994
71,Baquerizo,Sep,2002,20.4,Day,Observer,Floreana,Floreana,Centre- South,71.8,-1.30224,-90.50387,2,5,0.997
72,Baquerizo,Sep,2002,20.4,Night,Observer,Floreana,Floreana,Centre- South,71.8,-1.319433,-90.50901,1,4,2.38
73,Baquerizo,Sep,2002,20.4,Night,Observer,Floreana,Floreana,Centre- South,71.8,-1.30183,-90.50505,1,4,2.72
74,Baquerizo,Sep,2002,20.4,Night,Observer,Floreana,Floreana,Centre- South,71.8,-1.319433,-90.50901,1,3,0.906666667
75,Baquerizo,Sep,2002,20.4,Day,Observer,Floreana,Floreana,Centre- South,63.7,-1.2301,-90.4723,1,4,2.2675
76,Baquerizo,Sep,2002,20.4,Night,Observer,Floreana,Floreana,Centre- South,63.7,-1.23023,-90.475,2,6,1.738333333
77,Baquerizo,Sep,2002,20.4,Night,Landing,Floreana,Floreana,Centre- South,69.2,-1.2881,-90.4968,1,4,1.5
78,Baquerizo,Sep,2002,20.4,Night,Observer,Floreana,Floreana,Centre- South,69.4,-1.29001,-90.4992,2,5,2.95
79,Baquerizo,Sep,2002,20.4,Night,Observer,Floreana,Floreana,Centre- South,69.4,-1.29001,-90.4992,2,5,3.22
80,Baquerizo,Sep,2002,20.4,Night,Observer,Floreana,Floreana,Centre- South,60.5,-1.27589,-90.03904,1,5,1.08
81,Baquerizo,Sep,2002,20.4,Night,Landing,Floreana,Floreana,Centre- South,60.4,-1.3141,-90.3769,1,5,1.44
82,Baquerizo,Sep,2002,20.4,Day,Observer,Floreana,Floreana,Centre- South,69.7,-1.30332,-90.38458,5,16,0.98775
83,Ayora,Sep,2002,23.9,Day,Landing,Genovesa,Genovesa,North,71.1,0.3123,-89.9583,9,8,3.370833333
84,Baquerizo,Sep,2002,23.9,Day,Landing,Genovesa,Genovesa,North,86.6,0.3123,-89.9583,1,7,1.614285714
85,Baquerizo,Sep,2002,23.9,Night,Landing,Genovesa,Genovesa,North,86.6,0.3123,-89.9583,1,6,1.7
86,Baquerizo,Sep,2002,23.9,Night,Landing,Genovesa,Genovesa,North,86.6,0.3123,-89.9583,1,4,5.365
87,Ayora,Sep,2002,22.5,Day,Observer,Isabela Norte y Este,Isabela,West,36,-0.73991,-90.79762,1,4,0.125
88,Ayora,Sep,2002,22.5,Day,Observer,Isabela Norte y Este,Isabela,West,42.2,-0.60311,-90.9571,1,4,0.041666667
89,Ayora,Sep,2002,22.5,Day,Observer,Isabela Norte y Este,Isabela,West,37.4,-0.62526,-90.87685,1,4,0.125
90,Ayora,Sep,2002,22.5,Day,Observer,Isabela Norte y Este,Isabela,West,42.2,-0.60304,-90.9081,2,4,0.875
91,Ayora,Sep,2002,22.5,Day,Observer,Isabela Norte y Este,Isabela,West,42.2,-0.60304,-90.9081,2,4,0.375
92,Ayora,Sep,2002,22.5,Night,Observer,Isabela Norte y Este,Isabela,West,47.3,-0.60304,-90.9081,2,4,0.125
93,Ayora,Sep,2002,22.5,Day,Observer,Isabela Norte y Este,Isabela,West,36,-0.73991,-90.79762,2,4,0.0625
94,Ayora,Sep,2002,22.5,Night,Landing,Isabela Norte y Este,Isabela,West,90.6,0.1711,-91.3558,1,2,2.5
95,Ayora,Sep,2002,22.5,Night,Landing,Isabela Norte y Este,Isabela,West,90.6,0.1711,-91.3558,7,4,1.178571429
96,Ayora,Sep,2002,22.5,Night,Landing,Isabela Norte y Este,Isabela,West,76.9,-0.017,-91.19908,7,10,1.214285714
97,Ayora,Sep,2002,22.5,Night,Landing,Isabela Norte y Este,Isabela,West,67.5,-0.218,-91.1731,7,10,1.3
98,Ayora,Sep,2002,22.5,Night,Landing,Isabela Norte y Este,Isabela,West,61.2,-0.3039,-91.0875,7,3,0.904761905
99,Ayora,Sep,2002,22.5,Night,Landing,Isabela Norte y Este,Isabela,West,50.3,-0.375,-90.9555,7,4,0.696428571
100,Ayora,Sep,2002,22.5,Day,Landing,Isabela Norte y Este,Isabela,West,90.6,0.1711,-91.3558,6,12,1.291666667
101,Ayora,Sep,2002,22.5,Day,Landing,Isabela Norte y Este,Isabela,West,67.5,-0.218,-91.1731,6,6,2.625
102,Ayora,Sep,2002,22.5,Day,Landing,Isabela Norte y Este,Isabela,West,47.3,-0.4944,-90.95,6,10,1.041666667
103,Ayora,Sep,2002,22.5,Day,Landing,Isabela Norte y Este,Isabela,West,90.6,0.1711,-91.3558,6,15,0.88
104,Villamil,Sep,2002,22.5,Day,Landing,Isabela Norte y Este,Isabela,West,40.8,-0.58936,-90.94234,1,7,0.814285714
105,Villamil,Sep,2002,22.5,Day,Landing,Isabela Norte y Este,Isabela,West,40.8,-0.58936,-90.94234,1,16,0.17
106,Villamil,Sep,2002,22.5,Day,Landing,Isabela Norte y Este,Isabela,West,93.6,0.1423,-91.3766,1,5,2.72
107,Baquerizo,Sep,2002,22.5,Night,Observer,Isabela Norte y Este,Isabela,West,129,-0.01733,-91.20829,1,6,1.813333333
108,Baquerizo,Sep,2002,22.5,Night,Observer,Isabela Norte y Este,Isabela,West,143,0.1711,-91.3558,1,6,1.586666667
109,Baquerizo,Sep,2002,22.5,Night,Observer,Isabela Norte y Este,Isabela,West,143,-0.13865,-91.32377,2,5,1.044
110,Baquerizo,Sep,2002,22.5,Night,Observer,Isabela Norte y Este,Isabela,West,129,-0.017,-91.19908,1,5,3.082
111,Baquerizo,Sep,2002,22.5,Night,Observer,Isabela Norte y Este,Isabela,West,143,0.1711,-91.3558,1,1,4.08
112,Baquerizo,Sep,2002,22.5,Night,Observer,Isabela Norte y Este,Isabela,West,129,-0.017,-91.19908,1,4,0.4525
113,Baquerizo,Sep,2002,22.5,Night,Observer,Isabela Norte y Este,Isabela,West,129,-0.01787,-91.20861,2,3,0.453333333
114,Baquerizo,Sep,2002,22.5,Night,Observer,Isabela Norte y Este,Isabela,West,143,0.1711,-91.3558,2,5,0.816
115,Baquerizo,Sep,2002,22.5,Night,Observer,Isabela Norte y Este,Isabela,West,129,-0.017,-91.19908,2,6,0.566666667
116,Baquerizo,Sep,2002,22.5,Night,Observer,Isabela Norte y Este,Isabela,West,143,0.1711,-91.3558,8,22,0.172613636
117,Baquerizo,Sep,2002,22.5,Night,Observer,Isabela Norte y Este,Isabela,West,129,-0.017,-91.19908,8,24,0.172395833
118,Villamil,Sep,2002,21.6,Day,Landing,Isabela Oeste,Isabela,West,76.7,-0.43544,-91.23636,1,30,0.589666667
119,Villamil,Sep,2002,21.6,Day,Landing,Isabela Oeste,Isabela,West,76.7,-0.43544,-91.23636,1,20,1.349
120,Villamil,Sep,2002,21.6,Day,Landing,Isabela Oeste,Isabela,West,76.7,-0.43544,-91.23636,1,39,0.530769231
121,Villamil,Sep,2002,21.6,Day,Landing,Isabela Oeste,Isabela,West,76.7,-0.43544,-91.23636,2,15,0.55
122,Villamil,Sep,2002,21.6,Day,Landing,Isabela Oeste,Isabela,West,76.7,-0.43544,-91.23636,1,4,0.35
123,Villamil,Sep,2002,21.6,Day,Landing,Isabela Oeste,Isabela,West,76.7,-0.43544,-91.23636,1,5,1.1
124,Villamil,Sep,2002,21.6,Night,Landing,Isabela Oeste,Isabela,West,76.7,-0.43544,-91.23636,1,41,0.334146341
125,Villamil,Sep,2002,21.6,Day,Landing,Isabela Oeste,Isabela,West,77.3,-0.6796825,-91.26178085,1,4,0.175
126,Villamil,Sep,2002,21.2,Night,Landing,Isabela Sur,Isabela,West,17,-0.79173,-90.81927,2,7,1.25
127,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,17,-0.79173,-90.81927,1,10,1.043
128,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,17,-0.79173,-90.81927,1,15,1.239333333
129,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,17,-0.79173,-90.81927,1,12,2.2675
130,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,4.83,-1.0041,-91.039,1,4,0.375
131,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,4.83,-1.0041,-91.039,1,3,2.2
132,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,4.83,-1.0041,-91.039,1,4,1.02
133,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,4.83,-1.0041,-91.039,1,5,1.724
134,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,4.83,-1.0041,-91.039,1,4,0.34
135,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,14.7,-1.05069,-91.17433,1,16,0.92125
136,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,14.7,-1.05069,-91.17433,1,5,0.18
137,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,14.7,-1.05069,-91.17433,1,3,2
138,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,14.7,-1.05069,-91.17433,1,3,2.116666667
139,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,14.7,-1.05069,-91.17433,1,12,1.481666667
140,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,1.93,-0.97723,-90.98803,1,3.5,0.171428571
141,Villamil,Sep,2002,21.2,Night,Landing,Isabela Sur,Isabela,West,1.93,-0.97723,-90.98803,1,3,0.756666667
142,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,12.2,-1.0394,-91.1467,1,4,0.17
143,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,12.2,-1.0394,-91.1467,1,10,0.431
144,Villamil,Sep,2002,21.2,Night,Observer,Isabela Sur,Isabela,West,12.2,-1.02824,-91.24575,2,2.5,3.9
145,Villamil,Sep,2002,21.2,Night,Observer,Isabela Sur,Isabela,West,12.2,-1.02824,-91.29575,2,2.5,3.356
146,Villamil,Sep,2002,21.2,Night,Observer,Isabela Sur,Isabela,West,12.2,-1.05417,-91.16368,2,3,5.518333333
147,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,12.2,-1.0394,-91.1467,1,15,0.378
148,Villamil,Sep,2002,21.2,Day,Observer,Isabela Sur,Isabela,West,34.2,-1.01267,-91.41306,1,3,0.766666667
149,Villamil,Sep,2002,21.2,Day,Observer,Isabela Sur,Isabela,West,34.2,-0.92011,-91.50633,1,3,3.03
150,Villamil,Sep,2002,21.2,Day,Observer,Isabela Sur,Isabela,West,34.2,-0.92011,-91.50633,1,2,1.02
151,Villamil,Sep,2002,21.2,Day,Observer,Isabela Sur,Isabela,West,34.2,-0.91959,-91.50646,1,3,0.066666667
152,Villamil,Sep,2002,21.2,Day,Observer,Isabela Sur,Isabela,West,34.2,-1.01322,-91.41949,2,3,0.033333333
153,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,34.2,-0.95519,-91.461,1,12,1.474166667
154,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,34.2,-0.95519,-91.461,1,6,0.75
155,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,34.2,-0.95519,-91.461,1,6,1.366666667
156,Villamil,Sep,2002,21.2,Day,Observer,Isabela Sur,Isabela,West,9.18,-0.95802,-90.963723,1,6.5,0.104615385
157,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,9.18,-1.02,-91.1,1,5,0.26
158,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,1.21,-0.978203,-90.95763,1,3,0.066666667
159,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,1.21,-0.978203,-90.95763,1,4,0.175
160,Villamil,Sep,2002,21.2,Night,Landing,Isabela Sur,Isabela,West,1.21,-0.978203,-90.95763,1,4,2.3325
161,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,1.21,-0.978203,-90.95763,1,4,0.5675
162,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,2.1,-0.9711,-90.9343,1,3,0.466666667
163,Villamil,Sep,2002,21.2,Night,Landing,Isabela Sur,Isabela,West,2.1,-0.9711,-90.9343,1,2.5,2.36
164,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,14.3,-0.85295,-90.78476,1,4,2.55
165,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,14.9,-1.04912,-91.18457,1,6,0.983333333
166,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,14.9,-1.04912,-91.18457,1,6,0.908333333
167,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,14.9,-1.04912,-91.18457,1,12,2.759166667
168,Villamil,Sep,2002,21.2,Night,Observer,Isabela Sur,Isabela,West,14.9,-1.04831,-91.16491,1,2.5,2.088
169,Villamil,Sep,2002,21.2,Day,Observer,Isabela Sur,Isabela,West,14.9,-1.04711,-91.16806,2,4,0.70875
170,Villamil,Sep,2002,21.2,Day,Observer,Isabela Sur,Isabela,West,14.9,-1.04716,-91.16088,1,4,0.34
171,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,14.9,-1.04912,-91.18457,1,8,0.79375
172,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,14.9,-1.04912,-91.18457,2,10,0.59
173,Villamil,Sep,2002,21.2,Day,Observer,Isabela Sur,Isabela,West,14.9,-1.0474,-91.1683,2,3,0.453333333
174,Villamil,Sep,2002,21.2,Day,Observer,Isabela Sur,Isabela,West,14.9,-1.04912,-91.18457,1,1,0.23
175,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,14.9,-1.04912,-91.18457,2,15,0.378
176,Villamil,Sep,2002,21.2,Night,Observer,Isabela Sur,Isabela,West,14.9,-1.0477,-91.20423,2,2,4.475
177,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,14.9,-1.04912,-91.18457,2,15,0.468666667
178,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,6.56,-1.01864,-91.05577,1,4,0.625
179,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,6.56,-1.01864,-91.05577,1,5,0.44
180,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,9.22,-1.03944,-91.0943,1,3,0.066666667
181,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,9.22,-1.03944,-91.0943,1,3,1.666666667
182,Villamil,Sep,2002,21.2,Day,Observer,Isabela Sur,Isabela,West,18,-1.03199,-91.22862,2,3,2.116666667
183,Villamil,Sep,2002,21.2,Day,Observer,Isabela Sur,Isabela,West,18,-1.0477,-91.20423,2,3,0.983333333
184,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,18,-1.0358,-91.2282,1,5,0.28
185,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,18,-1.0358,-91.2282,2,20,0.1975
186,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,18,-1.0358,-91.2282,1,20,0.69
187,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,18,-1.0358,-91.2282,1,12,0.019166667
188,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,18,-1.0358,-91.2282,1,12,1.658333333
189,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,18,-1.0358,-91.2282,1,20,0.905
190,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,18,-1.0358,-91.2282,1,12,0.3025
191,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,18,-1.0358,-91.2282,1,20,0.395
192,Villamil,Sep,2002,21.2,Day,Landing,Isabela Sur,Isabela,West,18,-1.0358,-91.2282,1,12,0.094166667
193,Ayora,Sep,2002,23,Night,Observer,Marchena,Marchena,North,81.3,0.34456,-90.54679,1,3,0.5
194,Ayora,Sep,2002,23,Day,Observer,Marchena,Marchena,North,86,0.36777,-90.43854,1,4,0.875
195,Ayora,Sep,2002,23,Night,Observer,Marchena,Marchena,North,81.3,0.34456,-90.54679,1,3,0.333333333
196,Ayora,Sep,2002,23,Day,Observer,Marchena,Marchena,North,86,0.36689,-90.4116,2,4,0.4375
197,Ayora,Sep,2002,23,Night,Observer,Marchena,Marchena,North,81.3,0.34456,-90.54679,2,3,1.333333333
198,Ayora,Sep,2002,23,Day,Observer,Marchena,Marchena,North,86,0.36777,-90.448554,2,3,0.083333333
199,Ayora,Sep,2002,23,Day,Observer,Marchena,Marchena,North,86,0.36689,-90.4116,2,4,0.375
200,Ayora,Sep,2002,23,Night,Observer,Marchena,Marchena,North,81.3,0.34456,-90.54679,2,3,0.083333333
201,Baquerizo,Sep,2002,23,Night,Observer,Marchena,Marchena,North,104,0.3668833,-90.4402418,1,2,2.945
202,Baquerizo,Sep,2002,23,Night,Observer,Marchena,Marchena,North,104,0.3668833,-90.4402418,2,2,0.905
203,Baquerizo,Sep,2002,23,Night,Observer,Marchena,Marchena,North,104,0.3668833,-90.4402418,8,8,0.29046875
204,Ayora,Oct,2002,23,Day,Landing,Darwin,Darwin,North,184,1.500139,-91.91433,1,20,1.325
205,Ayora,Oct,2002,23,Day,Landing,Darwin,Darwin,North,184,1.500139,-91.91433,5,20,0.789
206,Ayora,Oct,2002,23,Day,Landing,Darwin,Darwin,North,184,1.500139,-91.91433,2,20,0.4875
207,Ayora,Oct,2002,23,Day,Landing,Darwin,Darwin,North,184,1.500139,-91.91433,2,20,0.8225
208,Baquerizo,Oct,2002,22.3,Night,Landing,Espa–ola,Espa–ola,Centre- South,37.9,-1.409,-89.6251,1,5,3.628
209,Baquerizo,Oct,2002,22.3,Night,Observer,Espa–ola,Espa–ola,Centre- South,35.4,-1.36813,-89.7406,1,3,3.633333333
210,Baquerizo,Oct,2002,22.3,Night,Observer,Espa–ola,Espa–ola,Centre- South,35.4,-1.36813,-89.7406,1,5,4.36
211,Baquerizo,Oct,2002,22.3,Night,Observer,Espa–ola,Espa–ola,Centre- South,35.4,-1.36813,-89.7406,1,5,4.82
212,Baquerizo,Oct,2002,22.3,Night,Landing,Espa–ola,Espa–ola,Centre- South,36.6,-1.3477,-89.6749,1,5,2.26
213,Baquerizo,Oct,2002,22.3,Night,Observer,Espa–ola,Espa–ola,Centre- South,33.8,-1.20919,-89.38893,1,5,0.908
